Step,Bx,By,Bz,Bm
437,0.053461,0.224003,0.489044,0.540555
438,0.053464,0.225128,0.483835,0.536318
439,0.0461185,0.230057,0.483913,0.537796
440,0.0424685,0.227851,0.500002,0.551109
441,0.0495766,0.224449,0.475485,0.52813
442,0.0553893,0.222196,0.483793,0.535252
443,0.0445973,0.224273,2.83837,2.84757
444,0.0562734,0.217312,2.82125,2.83016
445,0.0649823,0.212794,2.84628,2.85497
446,0.0634288,0.219688,2.71112,2.72074
447,0.0712841,0.219652,2.83833,2.84771
448,0.0725923,0.228368,2.82548,2.83563
449,0.0636574,0.233888,2.79422,2.80472
450,0.0563252,0.23785,2.86071,2.87113
451,0.0503944,0.236072,2.87029,2.88042
452,0.056342,0.237228,2.89815,2.90839
453,0.0564744,0.244862,2.86874,2.87973
454,0.045711,0.239241,2.8785,2.88878
455,0.0392012,0.240044,2.83213,2.84256
456,0.0287299,0.235089,2.88342,2.89313
457,0.0273668,0.231628,2.92547,2.93475
458,0.0334471,0.232953,2.93385,2.94327
459,0.0407468,0.229452,2.92601,2.93528
460,0.0431931,0.22221,2.87938,2.88826
461,0.046792,0.220363,2.89864,2.90738
462,0.0474094,0.217783,2.93332,2.94178
463,0.0443532,0.224611,2.82368,2.83295
464,0.0461183,0.231339,2.88667,2.89629
465,0.0507676,0.236396,2.8319,2.84221
466,0.0585839,0.231373,2.8749,2.88479
467,0.0515791,0.234541,2.85842,2.86849
468,0.0512937,0.241099,2.77343,2.78436
469,0.0515417,0.239843,2.7363,2.74727
470,0.0549731,0.225624,2.79585,2.80548
471,0.071939,0.217894,2.84871,2.85794
472,0.0753228,0.219612,2.71049,2.72041
473,0.0726217,0.225258,2.69272,2.7031
474,0.0676907,0.217043,2.68505,2.69466
475,0.0725434,0.213786,2.77804,2.78719
476,0.0630928,0.218804,2.81755,2.82673
477,0.0720035,0.229152,2.84394,2.85406
478,0.0602461,0.226726,2.81604,2.82579
479,0.0644758,0.217027,2.79145,2.80062
480,0.06231,0.215062,2.82769,2.83654
481,0.0646585,0.222686,2.83746,2.84692
482,0.0492446,0.226381,2.78034,2.78997
483,0.0542629,0.230799,2.78454,2.79462
484,0.0548975,0.238098,2.80964,2.82024
485,0.0494733,0.232943,2.84834,2.85828
486,0.0495746,0.232717,2.87194,2.88178
487,0.0515397,0.231667,0.479197,0.534748
488,0.0522842,0.238604,0.47441,0.533601
489,0.0437117,0.245791,0.472454,0.534356
490,0.0557794,0.243272,0.490422,0.550279
491,0.0587178,0.238437,0.488311,0.546578
492,0.0606632,0.240792,0.483099,0.54318
493,0.068429,0.240614,0.474071,0.536023
494,0.0616763,0.244604,0.471831,0.535033
495,0.0616225,0.238279,0.482143,0.541328
496,0.05648,0.231797,0.470908,0.527896
497,0.0629745,0.224846,0.484258,0.537613
498,0.0633482,0.235351,0.471496,0.530765
499,0.0658988,0.227728,0.462753,0.519946
500,0.0704046,0.226559,0.476069,0.53191
501,0.0640283,0.230845,0.485982,0.541819
502,0.0657759,0.231005,0.484108,0.540417
503,0.0598044,0.240452,0.466678,0.528377
504,0.0749432,0.243071,0.473554,0.537544
505,0.0759827,0.234499,0.476884,0.536825
506,0.0659099,0.233014,0.460556,0.520338
507,0.0634347,0.241908,0.458059,0.521883
508,0.0679875,0.242852,0.456386,0.521429
509,0.0628282,0.241428,0.45025,0.514743
510,0.0474255,0.240542,0.459054,0.520423
511,0.043859,0.239757,0.465601,0.525539
512,0.0547182,0.240842,0.453164,0.516098
513,0.0442469,0.243357,0.463338,0.525226
514,0.0371319,0.243882,0.449428,0.512682
515,0.0361823,0.240738,0.448491,0.510302
516,0.0423017,0.240524,0.451903,0.513671
517,0.042054,0.231679,0.451223,0.508965
