PID,x0,xf,E0,Ef
375,-0.379583,-881868,100,99.9999
376,-0.379583,-881868,100,99.9999
377,-0.379583,-881868,100,99.9999
378,-0.379583,-881868,100,99.9999
379,-0.379583,-881867,100,99.9999
380,-0.379583,-881867,100,99.9999
381,-0.379583,-881867,100,99.9999
382,-0.379583,-881868,100,99.9999
383,-0.379583,-881867,100,99.9999
384,-0.379583,-881867,100,99.9999
385,-0.379583,-881866,100,99.9999
386,-0.379583,-881867,100,99.9999
387,-0.379583,-881868,100,99.9999
388,-0.379583,-881867,100,99.9999
389,-0.379583,-881868,100,99.9999
390,-0.379583,-881868,100,99.9999
391,-0.379583,-881868,100,99.9999
392,-0.379583,-881866,100,99.9999
393,-0.379583,-881868,100,99.9999
394,-0.379583,-881868,100,99.9999
395,-0.379583,-881867,100,99.9999
396,-0.379583,-881867,100,99.9999
397,-0.379583,-881867,100,99.9999
398,-0.379583,-881867,100,99.9999
399,-0.379583,-881868,100,99.9999
400,-0.379583,-881867,100,99.9999
401,-0.379583,-881866,100,99.9999
402,-0.379583,-881867,100,99.9999
403,-0.379583,-881866,100,99.9999
404,-0.379583,-881867,100,99.9999
405,-0.379583,-881868,100,99.9999
406,-0.379583,-881868,100,99.9999
407,-0.379583,-881867,100,99.9999
408,-0.379583,-881868,100,99.9999
409,-0.379583,-881868,100,99.9999
410,-0.379583,-881867,100,99.9999
411,-0.379583,-881868,100,99.9999
412,-0.379583,-881869,100,99.9999
413,-0.379583,-881867,100,99.9999
414,-0.379583,-881867,100,99.9999
415,-0.379583,-881868,100,99.9999
416,-0.379583,-881866,100,99.9999
417,-0.379583,-881867,100,99.9999
418,-0.379583,-881868,100,99.9999
419,-0.379583,-881868,100,99.9999
420,-0.379583,-881868,100,99.9999
421,-0.379583,-881866,100,99.9999
422,-0.379583,-881867,100,99.9999
423,-0.379583,-881868,100,99.9999
424,-0.379583,-881867,100,99.9999
425,-0.379583,-881867,100,99.9999
426,-0.379583,-881867,100,99.9999
427,-0.379583,-881867,100,99.9999
428,-0.379583,-881867,100,99.9999
429,-0.379583,-881868,100,99.9999
430,-0.379583,-881868,100,99.9999
431,-0.379583,-881867,100,99.9999
432,-0.379583,-881867,100,99.9999
433,-0.379583,-881868,100,99.9999
434,-0.379583,-881867,100,99.9999
435,-0.379583,-881868,100,99.9999
436,-0.379583,-881867,100,99.9999
437,-0.379583,-881868,100,99.9999
438,-0.379583,-881867,100,99.9999
439,-0.379583,-881867,100,99.9999
440,-0.379583,-881867,100,99.9999
441,-0.379583,-881867,100,99.9999
442,-0.379583,-881867,100,99.9999
443,-0.379583,-881867,100,99.9999
444,-0.379583,-881867,100,99.9999
445,-0.379583,-881868,100,99.9999
446,-0.379583,-881868,100,99.9999
447,-0.379583,-881866,100,99.9999
448,-0.379583,-881867,100,99.9999
449,-0.379583,-881867,100,99.9999
450,-0.379583,-881868,100,99.9999
451,-0.379583,-881867,100,99.9999
452,-0.379583,-881868,100,99.9999
453,-0.379583,-881868,100,99.9999
454,-0.379583,-881867,100,99.9999
455,-0.379583,-881868,100,99.9999
456,-0.379583,-881867,100,99.9999
457,-0.379583,-881867,100,99.9999
458,-0.379583,-881867,100,99.9999
459,-0.379583,-881868,100,99.9999
460,-0.379583,-881867,100,99.9999
461,-0.379583,-881868,100,99.9999
462,-0.379583,-881868,100,99.9999
463,-0.379583,-881867,100,99.9999
464,-0.379583,-881868,100,99.9999
465,-0.379583,-881867,100,99.9999
466,-0.379583,-881868,100,99.9999
467,-0.379583,-881867,100,99.9999
468,-0.379583,-881868,100,99.9999
469,-0.379583,-881867,100,99.9999
470,-0.379583,-881868,100,99.9999
471,-0.379583,-881867,100,99.9999
