PID,weight,x,y,z,vx,vy,vz
5,1,-4.52489e+11,-7.71808e+11,1.80745e+11,5.47149e+07,-2.89565e+07,-1.60159e+07
5,1,-4.50436e+11,-7.78515e+11,1.76148e+11,5.40526e+07,-2.97934e+07,-1.50465e+07
5,1,-4.50708e+11,-7.78909e+11,1.82276e+11,5.335e+07,-3.05855e+07,-1.40651e+07
5,1,-4.13166e+11,-7.69494e+11,1.97778e+11,5.50068e+07,3.08766e+07,-1.15303e+07
5,1,-4.15759e+11,-7.71431e+11,1.90774e+11,5.57093e+07,3.02323e+07,-1.22778e+07
5,1,-4.12619e+11,-7.72416e+11,1.89542e+11,5.63985e+07,2.95587e+07,-1.29959e+07
5,1,-4.09507e+11,-7.71975e+11,1.92869e+11,5.7075e+07,2.88566e+07,-1.36843e+07
5,1,-4.11105e+11,-7.74166e+11,1.9525e+11,5.77399e+07,2.81257e+07,-1.43443e+07
5,1,-4.0758e+11,-7.71905e+11,1.89991e+11,5.83941e+07,2.73647e+07,-1.49783e+07
5,1,-4.13397e+11,-7.71455e+11,1.96932e+11,5.90374e+07,2.65719e+07,-1.55895e+07
5,1,-4.11443e+11,-7.72743e+11,1.92333e+11,5.9668e+07,2.57464e+07,-1.61806e+07
5,1,-4.10258e+11,-7.72066e+11,1.94389e+11,6.02825e+07,2.48886e+07,-1.67539e+07
5,1,-4.10158e+11,-7.71012e+11,1.95453e+11,6.08766e+07,2.40006e+07,-1.73106e+07
5,1,-4.07087e+11,-7.74283e+11,1.90962e+11,6.14454e+07,2.3086e+07,-1.78508e+07
5,1,-4.06798e+11,-7.72221e+11,1.89745e+11,6.19854e+07,2.21487e+07,-1.83738e+07
5,1,-4.04132e+11,-7.69615e+11,1.95114e+11,6.24944e+07,2.11924e+07,-1.88786e+07
5,1,-4.08304e+11,-7.70905e+11,1.91575e+11,6.29726e+07,2.02187e+07,-1.93644e+07
5,1,-4.05216e+11,-7.71594e+11,1.95622e+11,6.34217e+07,1.92273e+07,-1.98307e+07
5,1,-4.02158e+11,-7.70695e+11,1.87456e+11,6.3844e+07,1.82159e+07,-2.02771e+07
5,1,-4.00465e+11,-7.7292e+11,1.87586e+11,6.42419e+07,1.71816e+07,-2.07036e+07
5,1,-4.02923e+11,-7.70764e+11,1.89736e+11,6.46166e+07,1.61222e+07,-2.11096e+07
5,1,-4.03523e+11,-7.67004e+11,1.94344e+11,6.49681e+07,1.50369e+07,-2.14943e+07
5,1,-4.02184e+11,-7.70501e+11,1.89315e+11,6.5296e+07,1.39268e+07,-2.18558e+07
5,1,-3.99381e+11,-7.70081e+11,1.87501e+11,6.56002e+07,1.27939e+07,-2.21916e+07
5,1,-4.00299e+11,-7.65401e+11,1.88179e+11,6.58813e+07,1.16398e+07,-2.24987e+07
5,1,-4.0247e+11,-7.71803e+11,1.93223e+11,6.61412e+07,1.04649e+07,-2.27737e+07
5,1,-3.96909e+11,-7.66101e+11,1.89012e+11,6.63818e+07,9.26765e+06,-2.30137e+07
5,1,-3.98744e+11,-7.6972e+11,1.88662e+11,6.66041e+07,8.04606e+06,-2.32164e+07
5,1,-3.9469e+11,-7.64798e+11,1.88443e+11,6.68078e+07,6.79902e+06,-2.33802e+07
5,1,-3.95692e+11,-7.67576e+11,1.89772e+11,6.69905e+07,5.52813e+06,-2.35047e+07
5,1,-3.93662e+11,-7.65557e+11,1.86031e+11,6.71486e+07,4.23835e+06,-2.35905e+07
5,1,-3.93098e+11,-7.64281e+11,1.88418e+11,6.72785e+07,2.9371e+06,-2.36384e+07
5,1,-3.97049e+11,-7.6822e+11,1.89783e+11,6.73777e+07,1.6321e+06,-2.36498e+07
5,1,-3.97734e+11,-7.68603e+11,1.85827e+11,6.74449e+07,328860,-2.3626e+07
5,1,-3.92897e+11,-7.68414e+11,1.90726e+11,6.74795e+07,-970903,-2.3568e+07
5,1,-3.93038e+11,-7.68752e+11,1.89461e+11,6.74813e+07,-2.26919e+06,-2.34765e+07
5,1,-3.91607e+11,-7.64983e+11,1.90964e+11,6.74495e+07,-3.57002e+06,-2.33517e+07
5,1,-3.93993e+11,-7.71663e+11,1.85222e+11,6.73828e+07,-4.87697e+06,-2.3193e+07
5,1,-3.88658e+11,-7.65543e+11,1.87767e+11,6.72805e+07,-6.19115e+06,-2.29992e+07
5,1,-3.88424e+11,-7.71267e+11,1.85031e+11,6.71422e+07,-7.5103e+06,-2.27687e+07
5,1,-3.91694e+11,-7.67631e+11,1.85458e+11,6.69689e+07,-8.82912e+06,-2.24998e+07
5,1,-3.9138e+11,-7.66366e+11,1.82298e+11,6.6762e+07,-1.01404e+07,-2.21921e+07
5,1,-3.87183e+11,-7.72228e+11,1.86004e+11,6.6523e+07,-1.1436e+07,-2.18465e+07
