PID,weight,x0,xf,E0,Ef
4,6,-4.92511e+11,2.08789e+12,0,5.60559e-09
4,1,2.83348e+09,2.08789e+12,0,5.60559e-09
4,2,5.23847e+09,2.08789e+12,0,5.60559e-09
4,3,1.87273e+09,2.08789e+12,0,5.60559e-09
4,4,5.27118e+09,2.08789e+12,0,5.60559e-09
4,5,1.63111e+09,2.08789e+12,0,5.60559e-09
4,6,3.96906e+09,2.08789e+12,0,5.60559e-09
4,7,3.75777e+09,2.0877e+12,0,4.60617e-10
5,1,-8.2217e+11,2.08789e+12,0,5.60559e-09
5,1,-8.246e+11,2.08789e+12,0,5.60559e-09
5,2,-8.23609e+11,2.08789e+12,0,5.60559e-09
5,1,-8.19125e+11,2.08789e+12,0,5.60559e-09
5,2,-8.21236e+11,2.08789e+12,0,5.60559e-09
5,3,-8.14764e+11,2.08818e+12,0,6.56887e-10
5,1,-8.10285e+11,2.08789e+12,0,5.60559e-09
5,2,-8.09555e+11,2.08789e+12,0,5.60559e-09
5,3,-8.09661e+11,2.08789e+12,0,5.60559e-09
5,4,-8.04464e+11,2.08789e+12,0,5.60559e-09
5,1,-7.94896e+11,2.08789e+12,0,5.60559e-09
5,2,-7.95028e+11,2.08789e+12,0,5.60559e-09
5,3,-7.89495e+11,2.08825e+12,0,1.15097e-08
5,4,-7.92165e+11,2.08789e+12,0,5.60559e-09
5,5,-7.9276e+11,2.08789e+12,0,5.60559e-09
5,1,-7.53935e+11,2.08789e+12,0,5.60559e-09
5,2,-7.53654e+11,2.08789e+12,0,5.60559e-09
5,3,-7.54635e+11,2.08789e+12,0,5.60559e-09
5,4,-7.53817e+11,2.08789e+12,0,5.60559e-09
5,5,-7.5562e+11,2.08789e+12,0,5.60559e-09
5,6,-7.55089e+11,2.08789e+12,0,5.60559e-09
5,1,-4.31053e+11,2.08845e+12,0,2.46365e-09
5,2,-4.3003e+11,2.08789e+12,0,4.462e-11
5,3,-4.31412e+11,2.08789e+12,0,5.60559e-09
5,4,-4.25992e+11,2.08826e+12,0,1.0786e-09
5,5,-4.27104e+11,2.08789e+12,0,5.60559e-09
5,6,-4.27301e+11,2.08789e+12,0,5.60559e-09
5,7,-4.25539e+11,2.08789e+12,0,5.60559e-09
6,1,-8.21273e+11,2.08789e+12,0,5.60559e-09
6,1,-8.18093e+11,2.08789e+12,0,5.60559e-09
6,2,-8.20999e+11,2.08789e+12,0,5.60559e-09
6,1,-8.12972e+11,2.08789e+12,0,5.60559e-09
6,2,-8.13563e+11,2.08839e+12,0,2.02078e-09
6,3,-8.09537e+11,2.08789e+12,0,5.60559e-09
6,1,-7.98075e+11,2.08789e+12,0,5.60559e-09
6,2,-7.91913e+11,2.08789e+12,0,5.60559e-09
6,3,-7.93677e+11,2.08789e+12,0,5.60559e-09
6,4,-7.96787e+11,2.08789e+12,0,5.60559e-09
6,1,-7.67771e+11,2.08789e+12,0,5.60559e-09
6,2,-7.68229e+11,2.08789e+12,0,5.60559e-09
6,3,-7.68492e+11,2.08789e+12,0,5.60559e-09
