Step,Bx,By,Bz,Bm
182,8.16604e-08,8.31302e-08,6.86867e-07,6.96682e-07
183,8.32539e-08,7.65011e-08,6.80012e-07,6.89348e-07
184,8.38224e-08,6.93361e-08,6.7459e-07,6.83305e-07
185,8.25618e-08,6.23997e-08,6.71229e-07,6.79161e-07
186,7.9314e-08,5.64814e-08,6.70176e-07,6.77213e-07
187,7.46111e-08,5.22815e-08,6.71236e-07,6.7739e-07
188,6.94653e-08,5.02982e-08,6.73807e-07,6.79243e-07
189,6.49805e-08,5.07348e-08,6.77003e-07,6.82004e-07
190,6.19319e-08,5.34511e-08,6.79836e-07,6.84741e-07
191,6.04722e-08,5.79712e-08,6.81423e-07,6.86553e-07
192,6.00788e-08,6.35518e-08,6.81174e-07,6.86765e-07
193,5.97665e-08,6.93e-08,6.78922e-07,6.85062e-07
194,5.84882e-08,7.43215e-08,6.74966e-07,6.81559e-07
195,5.55731e-08,7.78708e-08,6.70011e-07,6.76807e-07
196,5.10236e-08,7.94747e-08,6.65036e-07,6.71709e-07
197,4.55442e-08,7.90076e-08,6.61092e-07,6.67353e-07
198,4.0275e-08,7.67057e-08,6.59092e-07,6.64762e-07
199,3.63343e-08,7.31216e-08,6.59625e-07,6.6466e-07
200,3.43661e-08,6.9031e-08,6.62831e-07,6.67302e-07
201,3.43005e-08,6.53076e-08,6.68362e-07,6.7242e-07
202,3.54461e-08,6.2783e-08,6.75432e-07,6.79269e-07
203,3.68799e-08,6.21099e-08,6.82963e-07,6.86772e-07
204,3.79501e-08,6.36433e-08,6.89786e-07,6.93755e-07
205,3.86388e-08,6.73613e-08,6.94883e-07,6.99209e-07
206,3.95806e-08,7.28416e-08,6.97609e-07,7.02518e-07
207,4.16972e-08,7.93088e-08,6.9786e-07,7.03588e-07
208,4.56034e-08,8.57586e-08,6.96129e-07,7.02873e-07
209,5.10806e-08,9.11469e-08,6.93428e-07,7.01256e-07
210,5.69209e-08,9.46163e-08,6.9106e-07,6.99825e-07
211,6.12866e-08,9.57082e-08,6.9029e-07,6.99583e-07
212,6.24763e-08,9.45018e-08,6.92004e-07,7.01216e-07
